synthetic_demo,evaluator_id,country,context,message_id,provenance,support_0_100,approval,control_responsibility_1_7,legitimacy_1_7
1,S2E001,US,consumer,M01,hidden,68,1,5.9,6.0
1,S2E002,US,consumer,M01,visible,60,1,5.0,5.6
1,S2E003,UK,consumer,M02,hidden,66,1,5.8,5.9
1,S2E004,UK,consumer,M02,visible,57,0,4.8,5.3
1,S2E005,US,workplace,M03,hidden,62,1,5.5,5.7
1,S2E006,US,workplace,M03,visible,55,0,4.7,5.1
1,S2E007,UK,workplace,M04,hidden,65,1,5.7,5.8
1,S2E008,UK,workplace,M04,visible,59,1,5.1,5.4
1,S2E009,US,consumer,M05,hidden,61,1,5.4,5.6
1,S2E010,US,consumer,M05,visible,56,0,4.9,5.2
1,S2E011,UK,workplace,M06,hidden,64,1,5.6,5.8
1,S2E012,UK,workplace,M06,visible,58,0,5.0,5.3
